keybits, mpz_powm_ms, mpz_powm_sec_ms, sq_and_mult, montgomery_ladder_ms, montgomery_fault_ms, rsa_decrypt_ms
2048, 3.211327, 3.631487, 5.739628, 7.943885, 12.029543, 12.064456 
2176, 3.675419, 4.276024, 6.456000, 8.812695, 13.659137, 14.422408 
2304, 4.248067, 4.935780, 7.558564, 10.402149, 15.888359, 16.869324 
2432, 5.185786, 5.796000, 8.040775, 11.184157, 17.591331, 18.221830 
2560, 5.731452, 6.715142, 10.107840, 13.612650, 21.309592, 22.423081 
2688, 6.615708, 7.842171, 11.073073, 14.691641, 23.066402, 24.687219 
2816, 7.750450, 9.732599, 14.886696, 19.562196, 29.432896, 30.424635 
2944, 8.744382, 10.179946, 14.615307, 20.212756, 31.105176, 32.560934 
3072, 9.726643, 11.424281, 16.723604, 22.942002, 37.237945, 36.990169 
3200, 11.149266, 12.810041, 18.515563, 25.008549, 38.440355, 39.809851 
3328, 12.348687, 14.242838, 20.941006, 28.449802, 43.361880, 45.381978 
3456, 13.798832, 16.367820, 22.509844, 30.387269, 47.264771, 49.703211 
3584, 15.315414, 17.757049, 23.245383, 31.596375, 47.981074, 50.279285 
3712, 17.183830, 19.721757, 25.432549, 35.684740, 53.988326, 56.005325 
3840, 18.410480, 21.945041, 28.208614, 37.851864, 57.791485, 60.296143 
3968, 20.382789, 24.005798, 31.161308, 41.880908, 64.648459, 65.661664 
4096, 23.059841, 26.116182, 35.090518, 47.266340, 71.984202, 73.885012 
